iter	Passed	Remaining
0	58	58676
1	59	29466
2	59	19709
3	59	14834
4	59	11907
5	60	9954
6	60	8570
7	60	7538
8	61	6723
9	61	6072
10	61	5539
11	61	5097
12	62	4720
13	62	4399
14	62	4119
15	63	3876
16	63	3660
17	63	3468
18	63	3298
19	64	3143
20	64	3002
21	64	2874
22	64	2757
23	65	2649
24	65	2551
25	65	2461
26	65	2376
27	66	2297
28	66	2224
29	66	2157
30	66	2093
31	67	2033
32	67	1977
33	67	1924
34	67	1874
35	68	1827
36	68	1783
37	68	1740
38	69	1700
39	69	1662
40	69	1625
41	69	1591
42	70	1558
43	70	1526
44	70	1496
45	70	1467
46	71	1440
47	71	1414
48	71	1389
49	71	1365
50	72	1342
51	72	1319
52	72	1297
53	72	1276
54	73	1257
55	73	1237
56	73	1218
57	73	1200
58	74	1184
59	74	1167
60	74	1150
61	75	1134
62	75	1120
63	75	1105
64	75	1090
65	76	1076
66	76	1062
67	76	1046
68	76	1033
69	76	1021
70	77	1008
71	77	996
72	77	984
73	77	973
74	78	962
75	78	951
76	78	941
77	78	931
78	79	922
79	79	913
80	79	903
81	79	894
82	80	885
83	80	876
84	80	867
85	81	865
86	81	856
87	81	847
88	82	840
89	82	832
90	82	824
91	82	816
92	82	809
93	83	802
94	83	795
95	83	788
96	83	781
97	84	775
98	84	769
99	84	762
100	84	756
101	85	749
102	85	743
103	85	737
104	85	732
105	86	726
106	86	721
107	86	715
108	86	709
109	87	704
110	87	699
111	87	694
112	87	689
113	88	684
114	88	679
115	88	674
116	88	669
117	89	665
118	89	660
119	89	656
120	89	651
121	89	647
122	90	641
123	90	637
124	90	634
125	90	630
126	91	626
127	91	621
128	91	617
129	91	613
130	91	609
131	92	605
132	92	602
133	92	598
134	92	594
135	93	591
136	93	587
137	93	583
138	93	580
139	93	577
140	94	573
141	94	570
142	94	567
143	94	564
144	95	561
145	95	558
146	95	555
147	96	552
148	96	549
149	96	546
150	96	543
151	97	541
152	97	538
153	97	535
154	97	532
155	97	529
156	98	527
157	98	524
158	98	522
159	98	519
160	99	516
161	99	514
162	99	512
163	100	509
164	100	507
165	100	505
166	100	502
167	100	500
168	101	497
169	101	495
170	101	493
171	101	490
172	102	488
173	102	486
174	102	484
175	102	481
176	103	479
177	103	477
178	103	475
179	103	473
180	103	470
181	104	468
182	104	466
183	104	463
184	104	461
185	105	459
186	105	457
187	105	455
188	105	453
189	106	452
190	106	450
191	106	448
192	106	446
193	106	444
194	107	442
195	107	441
196	107	439
197	107	437
198	108	435
199	108	433
200	108	431
201	108	430
202	109	428
203	109	426
204	109	424
205	109	423
206	110	421
207	110	419
208	110	418
209	110	416
210	110	414
211	111	413
212	111	411
213	111	410
214	111	408
215	112	406
216	112	405
217	112	403
218	112	402
219	113	400
220	113	399
221	113	397
222	113	396
223	113	394
224	114	393
225	114	392
226	114	390
